old_path,new_path,kind,reason
.gitignore,.gitignore,keep,repo hygiene
CLAUDE.md,CLAUDE.md,keep,"agent working file; kept per spec, docs/project-log.md is the readable version"
docs/MECHANISM_SPEC.md,docs/02-design.md,rewrite,rewritten as a current-state design document; amendment history moves to design-history.md
docs/cleanup.md,ARCHIVE/session-prompts/cleanup.md,archive,agent session instructions; substance folded into docs/project-log.md
docs/design-history.md,docs/design-history.md,rewrite,gains the full A-1..A-14 amendment table extracted from MECHANISM_SPEC
docs/inventory.md,ARCHIVE/session-prompts/inventory.md,archive,agent session instructions; substance folded into docs/project-log.md
docs/overnight/Runbook.md,ARCHIVE/session-prompts/overnight-Runbook.md,archive,agent session instructions
docs/overnight/WP1.md,ARCHIVE/session-prompts/overnight-WP1.md,archive,agent session instructions
docs/overnight/WP2.md,ARCHIVE/session-prompts/overnight-WP2.md,archive,agent session instructions
docs/overnight/WP3.md,ARCHIVE/session-prompts/overnight-WP3.md,archive,agent session instructions
docs/overnight/final session.md,ARCHIVE/session-prompts/final-session.md,archive,agent session instructions
results/.gitkeep,results/.gitkeep,keep,keeps results/ in tree
results/ASYNC_REPORT.md,experiments/05-async-handler.md,move,"experiment record, verbatim (item 10c)"
results/BARE_METAL_PLAN.md,docs/bare-metal-plan.md,move,"readiness plan, not an experiment record; referenced by limitations"
results/CONCURRENCY_REPORT.md,experiments/06-concurrent-demand.md,move,"experiment record, verbatim (item 10d)"
results/DIAGNOSTIC_REPORT.md,experiments/04-io-pipelining-diagnostic.md,move,"experiment record, verbatim (item 10b)"
results/HARNESS_REPORT.md,experiments/02-first-harness-superseded.md,move,"experiment record, verbatim; V1 harness, superseded by V2"
results/HARNESS_REPORT_V2.md,experiments/03-corrected-harness.md,move,"experiment record, verbatim"
results/LOOKAHEAD_REPORT.md,experiments/07-lookahead-window.md,move,"experiment record, verbatim (item 10e)"
results/PROJECT_STATE.md,SPLIT,rewrite,"split into results/findings.md (S1+narrative), results/superseded.md (S6), docs/05-limitations.md (S2+S3); S4/S5 -> design-history.md"
results/campaign12_phaseA_baseline.md,experiments/09c-baseline-io-repair.md,move,"experiment record, verbatim (Campaign 12 Phase A: drop_caches guest-side bug)"
results/campaign12_phaseA_phase3_AB.csv,results/data/baseline-io-repair-phase3-grid.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign12_phaseA_phase3_AB_log.txt,experiments/logs/campaign12_phaseA_phase3_AB_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign12_phaseA_phase4_AB.csv,results/data/baseline-io-repair-phase4-grid.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign12_phaseA_phase4_AB_log.txt,experiments/logs/campaign12_phaseA_phase4_AB_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign12_phaseB_chunk_floor.csv,results/data/synthetic-chunk-size-floor.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign12_phaseB_chunk_floor.md,experiments/09d-chunk-size-floor.md,move,"experiment record, verbatim (Campaign 12 Phase B)"
results/campaign12_phaseB_chunk_floor_log.txt,experiments/logs/campaign12_phaseB_chunk_floor_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign12_phaseB_gate_log.txt,experiments/logs/campaign12_phaseB_gate_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign12_phaseC_hitrate_audit.md,experiments/12b-hitrate-count-hypothesis.md,move,"experiment record, verbatim (Campaign 12 Phase C, hit-rate audit precursor)"
results/campaign12_phaseD_paper_table.csv,results/data/synthetic-consolidated-sweep.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign12_phaseD_paper_table.md,experiments/10-consolidated-sweep.md,move,"experiment record, verbatim (Campaign 12 Phase D)"
results/campaign12_phaseD_paper_table_log.txt,experiments/logs/campaign12_phaseD_paper_table_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign13_phaseA1_reproduce.csv,results/data/policy-determinism-reproduction.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign13_phaseA1_reproduce_log.txt,experiments/logs/campaign13_phaseA1_reproduce_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign13_phaseA2_determinism.csv,results/data/policy-determinism-6cell.csv,move,"backing data for a current claim -> results/data/, content-named"
results/campaign13_phaseA2_determinism_log.txt,experiments/logs/campaign13_phaseA2_determinism_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign13_phaseA3_trace_log.txt,experiments/logs/campaign13_phaseA3_trace_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign13_phaseA3b_trace_log.txt,experiments/logs/campaign13_phaseA3b_trace_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/campaign13_phaseA_policy_determinism.md,experiments/11-policy-determinism.md,move,"experiment record, verbatim (Campaign 13 Phase A)"
results/campaign13_phaseB_metric_repair.md,experiments/12-metric-audit.md,move,"experiment record, verbatim (Campaign 13 Phase B)"
results/campaign13_phaseC_claims.md,experiments/12c-claims-rederivation.md,move,"experiment record, verbatim (Campaign 13 Phase C)"
results/cleanup/CLEANUP_SUMMARY.md,ARCHIVE/session-summaries/cleanup-summary.md,archive,session wrapper; narrative folded into docs/project-log.md
results/cleanup/RELATED_WORK.md,docs/04-related-work.md,move,written for this purpose; moved unchanged
results/cleanup/phase1_deadlock_fix.md,experiments/17b-livelock-diagnosis.md,move,"experiment record, verbatim (cleanup session: gdb + 420s trace, livelock not deadlock)"
results/cleanup/phase1_reverify.csv,results/data/livelock-protect-off-regression-reverify.csv,move,reverification of the protect-off regression; cited by superseded.md
results/cleanup/phase1_verify.csv,results/data/livelock-protect-off-regression.csv,move,the pre-fix +67-78% protect-off arm-D numbers; cited by superseded.md
results/cleanup/phase1_verify_log.txt,experiments/logs/17b-livelock-diagnosis-verify.txt,move,raw log for experiment 17b
results/cleanup/phase2_claims_reconciled.md,ARCHIVE/session-summaries/cleanup-claims-reconciled.md,archive,synthesis-reconciliation process note; its decisions live in claims.md and design-history.md
results/cleanup/repro_deadlock.log,experiments/logs/17b-livelock-diagnosis-repro-deadlock.log,move,gdb / counter trace evidence for experiment 17b
results/cleanup/repro_decisive.log,experiments/logs/17b-livelock-diagnosis-repro-decisive.log,move,the decisive 420s counter trace for experiment 17b
results/correctness_harness_log.txt,experiments/logs/correctness_harness_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/final/BLOCKERS.md,ARCHIVE/session-summaries/final-blockers.md,archive,open-item tracker; live items folded into docs/05-limitations.md
results/final/FINAL_SUMMARY.md,ARCHIVE/session-summaries/final-summary.md,archive,session wrapper; narrative folded into docs/project-log.md
results/final/WRITEUP_PACKAGE.md,results/writeup-package.md,move,"writeup reference; feeds findings.md / methodology.md, kept as the consolidated source"
results/final/phase1_C.cfg,ARCHIVE/run-configs/results__final__phase1_C.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase1_D.cfg,ARCHIVE/run-configs/results__final__phase1_D.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase1_E.cfg,ARCHIVE/run-configs/results__final__phase1_E.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase1_console.txt,ARCHIVE/process-logs/results__final__phase1_console.txt,archive,"supervisor / console log, process noise"
results/final/phase1_equal_budget.csv,results/data/real-model-bytes-by-budget.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase1_equal_budget.md,experiments/15-equal-budget-baseline.md,move,"experiment record, verbatim (final session Phase 1)"
results/final/phase1_equal_budget_log.txt,experiments/logs/final__phase1_equal_budget_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/final/phase1_opt.csv,results/data/real-model-opt-bound.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase1_supervisor.log,ARCHIVE/process-logs/results__final__phase1_supervisor.log,archive,"supervisor / console log, process noise"
results/final/phase2_console.txt,ARCHIVE/process-logs/results__final__phase2_console.txt,archive,"supervisor / console log, process noise"
results/final/phase2_consumption_signal.md,experiments/16-consumption-signal.md,move,"experiment record, verbatim (final session Phase 2)"
results/final/phase2_determinism.csv,results/data/consumption-signal-determinism-grid.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase2_log.txt,experiments/logs/final__phase2_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/final/phase2_opt.csv,results/data/consumption-signal-opt-bound.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase2_supervisor.log,ARCHIVE/process-logs/results__final__phase2_supervisor.log,archive,"supervisor / console log, process noise"
results/final/phase2_sweep.csv,results/data/consumption-signal-comparison.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase3_arm_e.csv,results/data/prefetch-collapse-fallback-configs.csv,move,"backing data for a current claim -> results/data/, content-named"
results/final/phase3_arm_e_collapse.md,experiments/17-prefetch-collapse.md,move,"experiment record, verbatim (final session Phase 3)"
results/final/phase3_console.txt,ARCHIVE/process-logs/results__final__phase3_console.txt,archive,"supervisor / console log, process noise"
results/final/phase3_default_protect_off.cfg,ARCHIVE/run-configs/results__final__phase3_default_protect_off.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_log.txt,experiments/logs/final__phase3_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/final/phase3_off_depth1.cfg,ARCHIVE/run-configs/results__final__phase3_off_depth1.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_off_none_depth1.cfg,ARCHIVE/run-configs/results__final__phase3_off_none_depth1.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_off_retention_none.cfg,ARCHIVE/run-configs/results__final__phase3_off_retention_none.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_orig_protect_on_traced.cfg,ARCHIVE/run-configs/results__final__phase3_orig_protect_on_traced.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_protect_on.cfg,ARCHIVE/run-configs/results__final__phase3_protect_on.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/final/phase3_supervisor.log,ARCHIVE/process-logs/results__final__phase3_supervisor.log,archive,"supervisor / console log, process noise"
results/final/phase4_figures.md,experiments/17c-figure-refresh-notes.md,move,"figure-refresh record, verbatim (final session Phase 4)"
results/harness_sweep.csv,results/data/harness-v1-sweep-superseded.csv,move,"backing data for a current claim -> results/data/, content-named"
results/harness_v2_sweep.csv,results/data/harness-v2-sweep.csv,move,"backing data for a current claim -> results/data/, content-named"
results/inventory/INVENTORY_REPORT.md,experiments/logs/inventory-report.md,move,the census this restructure consumed; kept as evidence
results/inventory/citation_map.csv,experiments/logs/inventory-citation-map.csv,move,census artifact
results/inventory/classification.csv,experiments/logs/inventory-classification.csv,move,census artifact
results/inventory/load_bearing.txt,experiments/logs/inventory-load-bearing.txt,move,census artifact
results/inventory/orphans.txt,experiments/logs/inventory-orphans.txt,move,census artifact
results/inventory/raw/all_files.csv,experiments/logs/inventory-raw-all-files.csv,move,census artifact
results/inventory/raw/file_type_summary.csv,experiments/logs/inventory-raw-type-summary.csv,move,census artifact
results/inventory/raw/git_history_size.txt,experiments/logs/inventory-raw-git-size.txt,move,census artifact
results/inventory/raw/repo_size.txt,experiments/logs/inventory-raw-repo-size.txt,move,census artifact
results/inventory/scripts/inventory_census.sh,scripts/historical/inventory-census.sh,move,one-off census script
results/inventory/scripts/inventory_citemap.sh,scripts/historical/inventory-citemap.sh,move,one-off census script
results/inventory/scripts/inventory_classify.sh,scripts/historical/inventory-classify.sh,move,one-off census script
results/item10_harness_log.txt,experiments/logs/item10_harness_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item10_v2_harness_log.txt,experiments/logs/item10_v2_harness_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item1_manifest_happy.txt,experiments/logs/item1_manifest_happy.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item1_test_log.txt,experiments/logs/item1_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item2_3_test_log.txt,experiments/logs/item2_3_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item4_test_log.txt,experiments/logs/item4_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item5_test_log.txt,experiments/logs/item5_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item6_test_log.txt,experiments/logs/item6_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item8_test_log.txt,experiments/logs/item8_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/item9_test_log.txt,experiments/logs/item9_test_log.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/BLOCKERS.md,ARCHIVE/session-summaries/livelock-blockers.md,archive,"open-item tracker; the $?-quirk note folded into docs/06-reproduce.md, findings into project-log"
results/livelock/LIVELOCK_SUMMARY.md,ARCHIVE/session-summaries/livelock-summary.md,archive,session wrapper; narrative folded into docs/project-log.md
results/livelock/audit_negtest.sh,scripts/historical/livelock-audit-negtest.sh,move,one-off: reverts the embd match to confirm the startup audit aborts
results/livelock/dbg_nodes.sh,scripts/historical/livelock-dbg-nodes.sh,move,one-off: instrumented build dumping eval_cb node names
results/livelock/gate_mmap.tok,experiments/logs/livelock__gate_mmap.tok,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/gate_residctl.tok,experiments/logs/livelock__gate_residctl.tok,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase0_armD.cfg,ARCHIVE/run-configs/results__livelock__phase0_armD.cfg,archive,"per-run config snapshot, regenerable from scripts/"
results/livelock/phase0_console.txt,ARCHIVE/process-logs/results__livelock__phase0_console.txt,archive,"supervisor / console log, process noise"
results/livelock/phase0_cursor_diagnostic.md,experiments/18-signal-audit.md,move,"experiment record, verbatim (livelock session Phase 0: node-name mismatch)"
results/livelock/phase0_inventory.txt,experiments/logs/livelock__phase0_inventory.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase0_node_evidence.txt,experiments/logs/livelock__phase0_node_evidence.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase0_node_names.txt,experiments/logs/livelock__phase0_node_names.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase1_fixes.md,experiments/19-livelock-fix.md,move,"experiment record, verbatim (livelock session Phase 1: the four defects + fixes)"
results/livelock/phase2_console.txt,ARCHIVE/process-logs/results__livelock__phase2_console.txt,archive,"supervisor / console log, process noise"
results/livelock/phase2_determinism.csv,experiments/logs/livelock__phase2_determinism.csv,move,livelock synthetic-recheck raw data (byte-identical to final phase2); kept under experiments/logs/
results/livelock/phase2_sweep.csv,experiments/logs/livelock__phase2_sweep.csv,move,livelock synthetic-recheck raw data (byte-identical to final phase2); kept under experiments/logs/
results/livelock/phase2_synthetic.md,experiments/20-livelock-synthetic-recheck.md,move,"experiment record, verbatim (livelock session Phase 2: synthetic unchanged)"
results/livelock/phase3_D_r0.25_rep1_policy.trace,experiments/logs/livelock__phase3_D_r0.25_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_D_r0.375_rep1_policy.trace,experiments/logs/livelock__phase3_D_r0.375_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_D_r0.5_rep1_policy.trace,experiments/logs/livelock__phase3_D_r0.5_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_D_r0.625_rep1_policy.trace,experiments/logs/livelock__phase3_D_r0.625_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_D_r0.75_rep1_policy.trace,experiments/logs/livelock__phase3_D_r0.75_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_E_r0.25_rep1_policy.trace,experiments/logs/livelock__phase3_E_r0.25_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_E_r0.375_rep1_policy.trace,experiments/logs/livelock__phase3_E_r0.375_rep1_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_console.txt,ARCHIVE/process-logs/results__livelock__phase3_console.txt,archive,"supervisor / console log, process noise"
results/livelock/phase3_correctness_gate.txt,experiments/logs/livelock__phase3_correctness_gate.txt,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3_real_model.csv,results/data/livelock-real-model-arms.csv,move,"backing data for a current claim -> results/data/, content-named"
results/livelock/phase3_real_model.md,experiments/21-livelock-real-model.md,move,"experiment record, verbatim (livelock session Phase 3/3b/3c + A-14)"
results/livelock/phase3b_arm_e_protect_on.csv,results/data/livelock-arm-e-protect-on.csv,move,"backing data for a current claim -> results/data/, content-named"
results/livelock/phase3b_console.txt,ARCHIVE/process-logs/results__livelock__phase3b_console.txt,archive,"supervisor / console log, process noise"
results/livelock/phase3b_r0.25_fetch.trace,experiments/logs/livelock__phase3b_r0.25_fetch.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3b_r0.25_policy.trace,experiments/logs/livelock__phase3b_r0.25_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3b_r0.375_fetch.trace,experiments/logs/livelock__phase3b_r0.375_fetch.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3b_r0.375_policy.trace,experiments/logs/livelock__phase3b_r0.375_policy.trace,move,"raw run log / evidence, kept under experiments/logs/"
results/livelock/phase3c_arm_d_protect_on.csv,results/data/livelock-arm-d-protect-on.csv,move,"backing data for a current claim -> results/data/, content-named"
results/livelock/phase3c_console.txt,ARCHIVE/process-logs/results__livelock__phase3c_console.txt,archive,"supervisor / console log, process noise"
